,P1,P2,P3,P4,mean,variance,ei,pi,ucb
0,1,1,1,1,-1.4940697044554536e-37,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
1,1,1,1,2,-4.8978097045218566e-32,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
2,1,1,1,3,2.271067742445443e-31,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
3,1,1,1,4,4.397311702240661e-14,1.4319765095200456,0.024775453791461774,0.04960986528649662,5.983261045450188
4,1,1,1,5,4.290985025824683e-08,1.4319765095200432,0.02477545592021145,0.04960986896171878,5.9832610883599875
5,1,1,1,6,4.397311702248523e-14,1.4319765095200456,0.024775453791461774,0.04960986528649662,5.983261045450188
6,1,1,1,7,1.10960038697383e-30,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
7,1,1,2,1,-4.8978097045218593e-32,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
8,1,1,2,2,-1.8373421703172975e-26,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
9,1,1,2,3,-4.8977404258861453e-32,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
10,1,1,2,4,7.390640104756879e-20,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
11,1,1,2,5,4.397311702248523e-14,1.4319765095200456,0.024775453791461774,0.04960986528649662,5.983261045450188
12,1,1,2,6,1.689027490435204e-19,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
13,1,1,2,7,5.6521320592814756e-14,1.4319765095200456,0.024775453791462412,0.04960986528649772,5.983261045450201
14,1,1,3,1,-8.519717051486575e-31,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
15,1,1,3,2,-4.8980695972019075e-32,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
16,1,1,3,3,-1.4940697044554544e-37,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
17,1,1,3,4,1.3320973966100692e-36,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
18,1,1,3,5,9.97979273761705e-31,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
19,1,1,3,6,5.652132059277288e-14,1.4319765095200456,0.024775453791462412,0.04960986528649772,5.983261045450201
20,1,1,3,7,5.5154669251152644e-08,1.4319765095200432,0.02477545652767535,0.04960987001048681,5.983261100604807
21,1,1,4,1,-3.1960475431085633e-25,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
22,1,1,4,2,-8.519715557416871e-31,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
23,1,1,4,3,-3.2401266124853826e-47,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
24,1,1,4,4,2.7609553696703263e-63,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
25,1,1,4,5,1.7122233402154387e-36,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
26,1,1,4,6,9.499634799563041e-20,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
27,1,1,4,7,5.652132059277288e-14,1.4319765095200456,0.024775453791462412,0.04960986528649772,5.983261045450201
28,1,1,5,1,-8.519715557416871e-31,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
29,1,1,5,2,-2.5989268005170517e-36,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
30,1,1,5,3,-1.2788757396725649e-52,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
31,1,1,5,4,-2.3570298319932026e-63,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
32,1,1,5,5,8.425440333137807e-53,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
33,1,1,5,6,1.7122233402154387e-36,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
34,1,1,5,7,5.612955275437144e-31,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
35,1,2,1,1,-8.289282379138394e-21,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
36,1,2,1,2,-4.9319893665859205e-15,1.4319765095200456,0.02477545379145936,0.04960986528649242,5.9832610454501385
37,1,2,1,3,-2.1103945002430095e-14,1.4319765095200456,0.024775453791458624,0.04960986528649101,5.9832610454501225
38,1,2,1,4,2.2316205196347824e-08,1.4319765095200407,0.024775454898563434,0.04960986719787412,5.983261067766338
39,1,2,1,5,0.22683872248613018,1.3646424384781422,0.03465522602356992,0.06750280843778998,6.0677342841233655
40,1,2,1,6,4.290985025829541e-08,1.4319765095200432,0.02477545592021145,0.04960986896171878,5.9832610883599875
41,1,2,1,7,1.1239954578740385e-14,1.4319765095200456,0.024775453791460192,0.0496098652864938,5.983261045450155
42,1,2,2,1,-4.9319893665859205e-15,1.4319765095200456,0.02477545379145936,0.04960986528649242,5.9832610454501385
43,1,2,2,2,-4.81273422321306e-09,1.4319765095200432,0.02477545355270043,0.04960986487428229,5.983261040637403
44,1,2,2,3,-4.9320248363482666e-15,1.4319765095200456,0.02477545379145936,0.04960986528649242,5.9832610454501385
45,1,2,2,4,2.2869180309239505e-14,1.4319765095200456,0.024775453791460775,0.04960986528649481,5.983261045450167
46,1,2,2,5,4.2909850258241046e-08,1.4319765095200432,0.02477545592021145,0.04960986896171878,5.9832610883599875
47,1,2,2,6,1.1173439219368993e-13,1.4319765095200456,0.024775453791465174,0.049609865286502394,5.983261045450256
48,1,2,2,7,6.612284254713618e-08,1.4319765095200407,0.024775457071804965,0.04960987094991011,5.9832611115729755
49,1,2,3,1,-8.289282379138397e-21,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
50,1,2,3,2,-4.9319893665859205e-15,1.4319765095200456,0.02477545379145936,0.04960986528649242,5.9832610454501385
51,1,2,3,3,-8.289282379138394e-21,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
52,1,2,3,4,2.2710677424635606e-31,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
53,1,2,3,5,3.743774963167788e-25,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
54,1,2,3,6,5.515466925117154e-08,1.4319765095200432,0.02477545652767535,0.04960987001048681,5.983261100604807
55,1,2,3,7,0.2915699618229042,1.3646424384781408,0.0392654546997257,0.07504145850387425,6.132465523460136
56,1,2,4,1,-8.519717051486575e-31,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
57,1,2,4,2,-4.8980695980818606e-32,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
58,1,2,4,3,-2.748333770962597e-36,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
59,1,2,4,4,-8.799527155828521e-42,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
60,1,2,4,5,5.612955275437144e-31,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
61,1,2,4,6,5.652132059277288e-14,1.4319765095200456,0.024775453791462412,0.04960986528649772,5.983261045450201
62,1,2,4,7,5.5154669251152644e-08,1.4319765095200432,0.02477545652767535,0.04960987001048681,5.983261100604807
63,1,2,5,1,-2.5989268005170517e-36,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
64,1,2,5,2,-2.5989356000442077e-36,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
65,1,2,5,3,-8.519715557416871e-31,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
66,1,2,5,4,-2.5989268005170517e-36,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
67,1,2,5,5,2.1346439333182054e-47,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
68,1,2,5,6,5.612955275437144e-31,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
69,1,2,5,7,2.105619317229038e-25,1.4319765095200456,0.02477545379145965,0.04960986528649284,5.983261045450144
70,1,3,1,1,-4.9319893665859205e-15,1.4319765095200456,0.02477545379145936,0.04960986528649242,5.9832610454501385
71,1,3,1,2,-4.81273422321306e-09,1.4319765095200432,0.02477545355270043,0.04960986487428229,5.983261040637403
72,1,3,1,3,-2.0593567063188168e-08,1.4319765095200432,0.02477545276981545,0.04960986352265498,5.983261024856571
73,1,3,1,4,-0.10886620756222506,1.3646424384781408,0.017445953531453437,0.03737255512399068,5.732029354075007
74,1,3,1,5,3.955236114325058e-08,1.4319765095200383,0.02477545575364669,0.04960986867414973,5.983261085002489
75,1,3,1,6,7.287623871014536e-14,1.4319765095200456,0.024775453791463245,0.04960986528649908,5.983261045450217
76,1,3,1,7,1.0968173295983529e-08,1.4319765095200432,0.024775454335589114,0.04960986622591604,5.983261056418311
77,1,3,2,1,-4.81273422321306e-09,1.4319765095200432,0.02477545355270043,0.04960986487428229,5.983261040637403
78,1,3,2,2,-0.02544204830099888,1.3646424384781422,0.020817127774036326,0.04357643362269199,5.815453513336236
79,1,3,2,3,-4.81275532701039e-09,1.4319765095200432,0.02477545355269936,0.0496098648742805,5.983261040637382
80,1,3,2,4,-2.0593562131095208e-08,1.4319765095200432,0.024775452769815673,0.0496098635226554,5.983261024856575
81,1,3,2,5,4.0532486801743237e-14,1.4319765095200456,0.024775453791461663,0.049609865286496316,5.983261045450185
82,1,3,2,6,1.096817329618212e-08,1.4319765095200432,0.024775454335589114,0.04960986622591604,5.983261056418311
83,1,3,2,7,0.0579821743375039,1.3646424384781422,0.024739017922142045,0.05058606353793137,5.898877735974739
84,1,3,3,1,-4.9319893665859205e-15,1.4319765095200456,0.02477545379145936,0.04960986528649242,5.9832610454501385
85,1,3,3,2,-4.81273422321306e-09,1.4319765095200432,0.02477545355270043,0.04960986487428229,5.983261040637403
86,1,3,3,3,-4.9319893665859205e-15,1.4319765095200456,0.02477545379145936,0.04960986528649242,5.9832610454501385
